nino12,nino3,nino34,nino4
18.71,23.41,25.39,27.43
19.2,23.37,25.37,27.65
19.91,23.12,24.93,27.34
21.86,23.42,24.95,27.43
23.75,23.96,25.02,27.27
25.17,24.75,25.56,27.53
25.81,26.13,26.62,27.72
25.6,27.12,27.48,27.96
24.42,26.92,27.57,28.12
22.95,26.6,27.65,28.2
22.59,25.85,27.18,28.24
21.3,25.31,27.03,28.27
20.54,24.99,26.73,28.15
20.76,24.86,26.77,28.36
21.42,24.52,26.23,28.02
21.83,24.11,25.87,27.84
23.82,24.54,25.74,27.56
25.72,25.4,25.94,27.49
26.54,26.27,26.3,27.68
26.35,27.09,27.21,27.95
25.8,27.2,27.7,28.37
25.01,27.25,28.06,28.69
23.78,26.15,27.15,28.44
22.64,25.6,27,28.56
22.34,25.62,27.16,28.8
22.85,26.04,27.66,29.04
23.54,26.38,27.89,29.06
24.34,26.55,27.89,28.94
25.85,27.06,28.18,29
26.88,27.36,28,28.76
27,27.7,28.16,28.99
26.22,27.98,28.46,29.07
25.33,27.72,28.49,29.35
23.87,27.13,28.29,29.09
22.16,26.07,27.63,28.78
20.92,25.59,27.5,28.88
21.07,25.43,27.26,28.73
21.26,25.03,26.87,28.42
21.48,24.52,26.29,27.97
23.08,25.33,26.93,28.48
25.61,26.3,27.22,28.28
26.97,26.97,27.37,28.21
26.95,27.61,27.79,28.42
25.79,27.54,27.61,28.34
24.63,27.09,27.66,28.77
22.64,26.66,27.98,28.95
20.3,25.24,27.37,28.88
20.29,24.98,27.01,28.72
19.98,24.97,27.02,28.72
19.97,24.86,27.22,29.1
21.68,24.82,26.57,28.37
22.85,25.26,26.57,27.92
24.28,25.86,27.01,28.07
25.73,26.07,26.25,27.54
26.2,25.97,25.84,27.27
24.8,26.83,27.22,28.14
23.83,26.17,26.94,28.05
22.37,26.29,27.47,28.19
21.2,25.34,26.95,28.32
19.88,24.4,26.59,28.51
19.41,24.52,26.58,28.26
20.69,24.91,26.77,28.47
21.49,24.08,25.62,27.94
22.36,24.36,26.09,28.28
23.91,24.87,26.04,27.79
26.68,26.27,26.69,28.14
26.42,26.98,27.33,28.33
25.41,26.98,27.23,28.1
24.09,26.94,28.09,28.82
21.99,25.82,27.25,28.35
20.7,24.8,26.78,28.66
19.74,23.81,26.09,28.25
19.4,24.14,26.38,28.27
20.22,24.53,26.48,28.19
20.48,24.18,26.34,28.33
21.81,24.41,26.06,27.79
24.65,25.11,26.17,27.9
26.25,25.61,26,27.77
26.16,26.05,26.41,28.06
26.16,26.92,27.22,28.47
24.33,26.8,27.62,28.61
23.77,26.41,27.54,28.53
22.59,25.68,27.03,28.34
20.78,25.07,27.07,28.56
20.75,25.45,27.4,28.8
20.91,25.35,27.52,29.05
21.85,25.48,27.52,29.12
22.97,25.87,27.6,28.78
24.09,25.55,27.04,28.37
25.72,26.51,27.39,28.29
25.49,27.07,27.65,28.54
